CURSO,COD_RUCT,TITULACION,CENTRO,satisfaccion_alumnos,satisfaccion_profesores,año,diferencia_satis,satisfaccion_promedio
2023-24,4314524,MÁSTER UNIVERSITARIO EN INGENIERÍA INDUSTRIAL,E.T.S.I. INDUSTRIALES,5.71,8.78,2023,3.0699999999999994,7.244999999999999
2023-24,4314526,MÁSTER UNIVERSITARIO EN INGENIERÍA INFORMÁTICA,E.T.S. DE INGENIERÍA INFORMÁTICA,7.81,8.52,2023,0.71,8.165
2023-24,4314528,MÁSTER UNIVERSITARIO EN ENOLOGÍA,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,8.0,8.0,2023,0.0,8.0
2023-24,4314529,MÁSTER UNIVERSITARIO EN INGENIERÍA AGRONÓMICA,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,7.79,8.32,2023,0.5300000000000002,8.055
2023-24,4314646,MÁSTER UNIVERSITARIO EN INGENIERÍA GEOMÁTICA Y GEOINFORMACIÓN,"E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.",8.52,9.61,2023,1.0899999999999999,9.065
2023-24,4314647,"MÁSTER UNIVERSITARIO EN INGENIERÍA DE CAMINOS, CANALES Y PUERTOS","E.T.S.I. CAMINOS, CANALES Y PUERTOS",4.06,8.91,2023,4.8500000000000005,6.484999999999999
2023-24,4314825,MÁSTER UNIVERSITARIO EN DIRECCIÓN DE EMPRESAS (MBA),E. POLITÉCNICA SUPERIOR DE ALCOY,7.19,9.81,2023,2.62,8.5
2023-24,4315002,MÁSTER UNIVERSITARIO EN INGENIERÍA TEXTIL,E. POLITÉCNICA SUPERIOR DE ALCOY,8.57,8.44,2023,-0.13000000000000078,8.504999999999999
2023-24,4315070,MÁSTER UNIVERSITARIO EN ARQUITECTURA,E.T.S. DE ARQUITECTURA,7.4,7.7,2023,0.2999999999999998,7.550000000000001
2023-24,4315921,MÁSTER UNIVERSITARIO EN INGENIERÍA BIOMÉDICA,E.T.S.I. INDUSTRIALES,6.25,8.61,2023,2.3599999999999994,7.43
2023-24,4315941,MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN SANIDAD VEGETAL EN AGRICULTURA SOSTENIBLE/ EUROPEAN MASTER DEGREE IN PLANT HEALTH IN SUSTAINABLE CROPPING SYSTEMS,UNIDAD DE MÁSTERES UNIVERSITARIOS,9.0,9.53,2023,0.5299999999999994,9.265
2023-24,4316135,MÁSTER UNIVERSITARIO EN GESTIÓN ADMINISTRATIVA,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,7.5,6.79,2023,-0.71,7.145
2023-24,4316557,"MÁSTER UNIVERSITARIO EN ESTUDIOS DE LA CIENCIA, LA TECNOLOGÍA Y LA INNOVACIÓN",UNIDAD DE MÁSTERES UNIVERSITARIOS,6.25,10.0,2023,3.75,8.125
2023-24,4316840,MÁSTER UNIVERSITARIO EN MEJORA GENÉTICA VEGETAL,UNIDAD DE MÁSTERES UNIVERSITARIOS,6.5,8.57,2023,2.0700000000000003,7.535
2023-24,4317401,MÁSTER UNIVERSITARIO EN SOCIAL MEDIA Y COMUNICACIÓN CORPORATIVA,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,5.0,8.89,2023,3.8900000000000006,6.945
2023-24,4317434,MÁSTER UNIVERSITARIO EN SISTEMAS INTELIGENTES DE TRANSPORTE,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",10.0,,2023,,
2023-24,4317446,MÁSTER UNIVERSITARIO EN COMUNICACIÓN TRANSMEDIA,ESCUELA POLITECNICA SUPERIOR DE GANDIA,4.25,8.64,2023,4.390000000000001,6.445
2023-24,4317448,MÁSTER UNIVERSITARIO EN CIBERSEGURIDAD Y CIBERINTELIGENCIA,E.T.S. DE INGENIERÍA INFORMÁTICA,7.22,10.0,2023,2.7800000000000002,8.61
2023-24,4317455,"MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN ONDAS, ACÚSTICA, VIBRACIONES, INGENIERÍA Y SONIDO / ERASMUS MUNDUS MASTER IN WAVES, ACOUSTICS, VIBRATIONS, ENGINEERING AND SOUND (WAVES)",ESCUELA POLITECNICA SUPERIOR DE GANDIA,7.19,9.38,2023,2.1900000000000004,8.285
2023-24,4317480,MÁSTER UNIVERSITARIO EN QUÍMICA SOSTENIBLE,UNIDAD DE MÁSTERES UNIVERSITARIOS,6.88,9.55,2023,2.670000000000001,8.215
2023-24,4317640,MÁSTER UNIVERSITARIO EN INGENIERÍA BIOAMBIENTAL Y DEL PAISAJE,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,5.83,8.75,2023,2.92,7.29
2023-24,4317898,MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN MEJORA GENÉTICA VEGETAL / ERASMUS MUNDUS MASTER IN PLANT BREEDING - EMPLANT +,UNIDAD DE MÁSTERES UNIVERSITARIOS,,9.69,2023,,
2023-24,4317936,MÁSTER UNIVERSITARIO EN GANADERÍA DE PRECISIÓN,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,10.0,9.69,2023,-0.3100000000000005,9.844999999999999
2023-24,4317948,MÁSTER UNIVERSITARIO EN MECÁNICA DE FLUIDOS COMPUTACIONAL,E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL,5.5,8.44,2023,2.9399999999999995,6.97
2023-24,4317961,MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN CIENCIA EN INGENIERÍA TEXTIL / ERASMUS MUNDUS MASTER OF SCIENCE IN TEXTILE ENGINEERING,E. POLITÉCNICA SUPERIOR DE ALCOY,,10.0,2023,,
2023-24,4318105,MÁSTER UNIVERSITARIO EN SEGURIDAD NUCLEAR Y PROTECCIÓN RADIOLÓGICA,E.T.S.I. INDUSTRIALES,8.75,9.17,2023,0.41999999999999993,8.96
2023-24,4318256,MÁSTER UNIVERSITARIO EN SEGURIDAD INDUSTRIAL,E.T.S.I. INDUSTRIALES,7.81,9.0,2023,1.1900000000000004,8.405
2023-24,4318298,MÁSTER UNIVERSITARIO EN INGENIERÍA EN MOVILIDAD ELÉCTRICA,E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL,3.54,8.75,2023,5.21,6.145
2023-24,4318372,MÁSTER UNIVERSITARIO EN HUMANIDADES DIGITALES,E.T.S. DE INGENIERÍA INFORMÁTICA,,9.0,2023,,
2023-24,4318375,MÁSTER UNIVERSITARIO EN INGENIERÍA ESTRUCTURAL Y GEOTÉCNICA,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",5.0,9.04,2023,4.039999999999999,7.02
2023-24,4318551,MÁSTER UNIVERSITARIO EN INTELIGENCIA TURÍSTICA,ESCUELA POLITECNICA SUPERIOR DE GANDIA,9.0,8.64,2023,-0.35999999999999943,8.82
