CURSO;COD_RUCT;TITULACION;CENTRO;TASA_ABANDONO
2023-24;4311610;MÁSTER UNIVERSITARIO EN MEJORA GENÉTICA ANIMAL Y BIOTECNOLOGÍA DE LA REPRODUCCIÓN;UNIDAD DE MÁSTERES UNIVERSITARIOS;12,500000
2023-24;4311612;MÁSTER UNIVERSITARIO EN POSTPRODUCCIÓN DIGITAL;ESCUELA POLITECNICA SUPERIOR DE GANDIA;11,430000
2023-24;4311613;MÁSTER UNIVERSITARIO EN PREVENCIÓN DE RIESGOS LABORALES;UNIDAD DE MÁSTERES UNIVERSITARIOS;27,030000
2023-24;4311614;MÁSTER UNIVERSITARIO EN PRODUCCIÓN ARTÍSTICA;FACULTAD DE BELLAS ARTES;8,160000
2023-24;4311725;MÁSTER UNIVERSITARIO EN COOPERACIÓN AL DESARROLLO;UNIDAD DE MÁSTERES UNIVERSITARIOS;16,000000
2023-24;4311726;MÁSTER UNIVERSITARIO EN INGENIERÍA AMBIENTAL;E.T.S.I. CAMINOS, CANALES Y PUERTOS;16,670000
2023-24;4312033;MÁSTER UNIVERSITARIO EN ACUICULTURA;UNIDAD DE MÁSTERES UNIVERSITARIOS;20,000000
2023-24;4312991;MÁSTER UNIVERSITARIO EN EVALUACIÓN Y SEGUIMIENTO AMBIENTAL DE ECOSISTEMAS MARINOS Y COSTEROS;ESCUELA POLITECNICA SUPERIOR DE GANDIA;0,000000
2023-24;4313930;MÁSTER UNIVERSITARIO EN INVESTIGACIÓN MATEMÁTICA;UNIDAD DE MÁSTERES UNIVERSITARIOS;37,500000
2023-24;4314065;MÁSTER UNIVERSITARIO EN INGENIERÍA, PROCESADO Y CARACTERIZACIÓN DE MATERIALES;E. POLITÉCNICA SUPERIOR DE ALCOY;7,690000
2023-24;4314067;MÁSTER UNIVERSITARIO EN INGENIERÍA MECATRÓNICA;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;8,700000
2023-24;4314071;MÁSTER UNIVERSITARIO EN INGENIERÍA DE ORGANIZACIÓN Y LOGÍSTICA;E. POLITÉCNICA SUPERIOR DE ALCOY;20,000000
2023-24;4314473;MÁSTER UNIVERSITARIO EN INGENIERÍA DE MONTES;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;14,290000
2023-24;4314518;MÁSTER UNIVERSITARIO EN INGENIERÍA DE TELECOMUNICACIÓN;E.T.S.I. DE TELECOMUNICACIÓN;5,880000
2023-24;4314521;MÁSTER UNIVERSITARIO EN INGENIERÍA AERONÁUTICA;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;2,940000
2023-24;4314523;MÁSTER UNIVERSITARIO EN INGENIERÍA QUÍMICA;E.T.S.I. INDUSTRIALES;8,930000
2023-24;4314524;MÁSTER UNIVERSITARIO EN INGENIERÍA INDUSTRIAL;E.T.S.I. INDUSTRIALES;6,380000
2023-24;4314526;MÁSTER UNIVERSITARIO EN INGENIERÍA INFORMÁTICA;E.T.S. DE INGENIERÍA INFORMÁTICA;10,340000
2023-24;4314528;MÁSTER UNIVERSITARIO EN ENOLOGÍA;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;11,110000
2023-24;4314529;MÁSTER UNIVERSITARIO EN INGENIERÍA AGRONÓMICA;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;1,490000
2023-24;4314646;MÁSTER UNIVERSITARIO EN INGENIERÍA GEOMÁTICA Y GEOINFORMACIÓN;E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.;29,410000
2023-24;4314647;MÁSTER UNIVERSITARIO EN INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;E.T.S.I. CAMINOS, CANALES Y PUERTOS;17,140000
2023-24;4314825;MÁSTER UNIVERSITARIO EN DIRECCIÓN DE EMPRESAS (MBA);E. POLITÉCNICA SUPERIOR DE ALCOY;27,590000
2023-24;4315002;MÁSTER UNIVERSITARIO EN INGENIERÍA TEXTIL;E. POLITÉCNICA SUPERIOR DE ALCOY;15,790000
2023-24;4315070;MÁSTER UNIVERSITARIO EN ARQUITECTURA;E.T.S. DE ARQUITECTURA;4,840000
2023-24;4315921;MÁSTER UNIVERSITARIO EN INGENIERÍA BIOMÉDICA;E.T.S.I. INDUSTRIALES;17,140000
2023-24;4315941;MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN SANIDAD VEGETAL EN AGRICULTURA SOSTENIBLE/ EUROPEAN MASTER DEGREE IN PLANT HEALTH IN SUSTAINABLE CROPPING SYSTEMS;UNIDAD DE MÁSTERES UNIVERSITARIOS;77,270000
2023-24;4316135;MÁSTER UNIVERSITARIO EN GESTIÓN ADMINISTRATIVA;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;32,260000
2023-24;4316557;MÁSTER UNIVERSITARIO EN ESTUDIOS DE LA CIENCIA, LA TECNOLOGÍA Y LA INNOVACIÓN;UNIDAD DE MÁSTERES UNIVERSITARIOS;55,560000
2023-24;4316840;MÁSTER UNIVERSITARIO EN MEJORA GENÉTICA VEGETAL;UNIDAD DE MÁSTERES UNIVERSITARIOS;12,500000
2023-24;4317401;MÁSTER UNIVERSITARIO EN SOCIAL MEDIA Y COMUNICACIÓN CORPORATIVA;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;6,900000
2023-24;4317434;MÁSTER UNIVERSITARIO EN SISTEMAS INTELIGENTES DE TRANSPORTE;E.T.S.I. CAMINOS, CANALES Y PUERTOS;14,290000
2023-24;4317446;MÁSTER UNIVERSITARIO EN COMUNICACIÓN TRANSMEDIA;ESCUELA POLITECNICA SUPERIOR DE GANDIA;16,000000
2023-24;4317448;MÁSTER UNIVERSITARIO EN CIBERSEGURIDAD Y CIBERINTELIGENCIA;E.T.S. DE INGENIERÍA INFORMÁTICA;14,710000
2023-24;4317455;MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN ONDAS, ACÚSTICA, VIBRACIONES, INGENIERÍA Y SONIDO / ERASMUS MUNDUS MASTER IN WAVES, ACOUSTICS, VIBRATIONS, ENGINEERING AND SOUND (WAVES);ESCUELA POLITECNICA SUPERIOR DE GANDIA;0,000000
2023-24;4317480;MÁSTER UNIVERSITARIO EN QUÍMICA SOSTENIBLE;UNIDAD DE MÁSTERES UNIVERSITARIOS;4,350000
2023-24;4317640;MÁSTER UNIVERSITARIO EN INGENIERÍA BIOAMBIENTAL Y DEL PAISAJE;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;11,110000
2023-24;4317898;MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN MEJORA GENÉTICA VEGETAL / ERASMUS MUNDUS MASTER IN PLANT BREEDING - EMPLANT +;UNIDAD DE MÁSTERES UNIVERSITARIOS;0,000000
2023-24;4317936;MÁSTER UNIVERSITARIO EN GANADERÍA DE PRECISIÓN;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;16,670000
2023-24;4317948;MÁSTER UNIVERSITARIO EN MECÁNICA DE FLUIDOS COMPUTACIONAL;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;9,520000
2023-24;4317961;MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN CIENCIA EN INGENIERÍA TEXTIL / ERASMUS MUNDUS MASTER OF SCIENCE IN TEXTILE ENGINEERING;E. POLITÉCNICA SUPERIOR DE ALCOY;100,000000
2023-24;4318105;MÁSTER UNIVERSITARIO EN SEGURIDAD NUCLEAR Y PROTECCIÓN RADIOLÓGICA;E.T.S.I. INDUSTRIALES;25,000000
