CURSO,COD_RUCT,TITULACION,CENTRO,año,satisfaccion_alumnos,satisfaccion_profesores,diferencia_satis,satisfaccion_promedio,tasa_abandono,tasa_permanencia,autoeficacia_3_anos,nivel_autoeficacia,porcentaje_no_desempleados,porcentaje_desempleados,nivel_empleabilidad
2020-21,2501650,GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2020,6.11,7.89,1.7799999999999994,7.0,6.94,93.06,5.4,Alta,95.45,4.549999999999997,Excelente
2020-21,2501651,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,E. POLITÉCNICA SUPERIOR DE ALCOY,2020,6.85,8.51,1.66,7.68,23.08,76.92,6.7,Muy alta,92.0,8.0,Excelente
2020-21,2501651,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,2020,6.2,8.45,2.249999999999999,7.324999999999999,10.5,89.5,6.4,Muy alta,100.0,0.0,Excelente
2020-21,2501653,GRADO EN INGENIERÍA AEROESPACIAL,E.T.S. DE INGENIERIA DEL DISEÑO,2020,5.95,8.24,2.29,7.095000000000001,10.66,89.34,5.7,Muy alta,100.0,0.0,Excelente
2020-21,2501654,GRADO EN INGENIERÍA AGROALIMENTARIA Y DEL MEDIO RURAL,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2020,5.81,8.17,2.3600000000000003,6.99,26.72,73.28,5.8,Muy alta,85.37,14.629999999999995,Muy buena
2020-21,2501655,GRADO EN INGENIERÍA ELÉCTRICA,E. POLITÉCNICA SUPERIOR DE ALCOY,2020,6.54,8.44,1.8999999999999997,7.49,11.54,88.46000000000001,7.0,Muy alta,100.0,0.0,Excelente
2020-21,2501655,GRADO EN INGENIERÍA ELÉCTRICA,E.T.S. DE INGENIERIA DEL DISEÑO,2020,6.67,8.61,1.9399999999999995,7.64,15.28,84.72,7.4,Muy alta,90.91,9.090000000000003,Excelente
2020-21,2501656,GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA,E.T.S. DE INGENIERIA DEL DISEÑO,2020,6.56,7.91,1.3500000000000003,7.234999999999999,4.67,95.33,7.2,Muy alta,100.0,0.0,Excelente
2020-21,2501657,GRADO EN INGENIERÍA GEOMÁTICA Y TOPOGRAFÍA,"E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.",2020,7.71,8.48,0.7700000000000005,8.095,20.24,79.76,4.7,Alta,94.44,5.560000000000002,Excelente
2020-21,2501658,GRADO EN INGENIERÍA DE ORGANIZACIÓN INDUSTRIAL,E.T.S.I. INDUSTRIALES,2020,7.33,8.14,0.8100000000000005,7.735,1.45,98.55,7.0,Muy alta,100.0,0.0,Excelente
2020-21,2501659,GRADO EN INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES,E.T.S.I. INDUSTRIALES,2020,5.78,8.46,2.6800000000000006,7.120000000000001,5.34,94.66,6.7,Muy alta,92.78,7.219999999999999,Excelente
2020-21,2501660,GRADO EN INGENIERÍA FORESTAL Y DEL MEDIO NATURAL,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2020,5.1,8.24,3.140000000000001,6.67,33.72,66.28,4.2,Media,93.33,6.670000000000002,Excelente
2020-21,2501661,GRADO EN INGENIERÍA INFORMÁTICA,E. POLITÉCNICA SUPERIOR DE ALCOY,2020,5.56,8.19,2.63,6.875,27.38,72.62,8.0,Muy alta,66.67,33.33,Media
2020-21,2501661,GRADO EN INGENIERÍA INFORMÁTICA,E.T.S. DE INGENIERÍA INFORMÁTICA,2020,5.93,8.22,2.290000000000001,7.075,7.38,92.62,8.2,Muy alta,94.51,5.489999999999995,Excelente
2020-21,2501662,GRADO EN INGENIERÍA QUÍMICA,E. POLITÉCNICA SUPERIOR DE ALCOY,2020,7.08,7.83,0.75,7.455,22.92,77.08,5.4,Alta,80.0,20.0,Muy buena
2020-21,2501662,GRADO EN INGENIERÍA QUÍMICA,E.T.S.I. INDUSTRIALES,2020,6.11,8.28,2.169999999999999,7.195,10.26,89.74,5.3,Alta,91.67,8.329999999999998,Excelente
2020-21,2501663,"GRADO EN INGENIERÍA DE SISTEMAS DE TELECOMUNICACIÓN, SONIDO E IMAGEN",ESCUELA POLITECNICA SUPERIOR DE GANDIA,2020,6.07,8.5,2.43,7.285,13.56,86.44,7.0,Muy alta,100.0,0.0,Excelente
2020-21,2502182,GRADO EN INGENIERÍA MECÁNICA,E. POLITÉCNICA SUPERIOR DE ALCOY,2020,6.38,7.19,0.8100000000000005,6.785,9.8,90.2,5.9,Muy alta,88.0,12.0,Muy buena
2020-21,2502182,GRADO EN INGENIERÍA MECÁNICA,E.T.S. DE INGENIERIA DEL DISEÑO,2020,7.09,8.31,1.2200000000000006,7.7,5.56,94.44,6.2,Muy alta,97.1,2.9000000000000057,Excelente
2020-21,2502405,GRADO EN INGENIERÍA DE OBRAS PÚBLICAS,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",2020,5.96,8.05,2.0900000000000007,7.005000000000001,42.11,57.89,4.3,Media,81.58,18.42,Muy buena
2020-21,2502407,GRADO EN INGENIERÍA DE TECNOLOGÍAS Y SERVICIOS DE TELECOMUNICACIÓN,E.T.S.I. DE TELECOMUNICACIÓN,2020,6.35,7.5,1.1500000000000004,6.925,9.81,90.19,7.0,Muy alta,95.74,4.260000000000005,Excelente
2020-21,2502507,GRADO EN INGENIERÍA CIVIL,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",2020,7.03,8.6,1.5699999999999994,7.814999999999999,17.95,82.05,6.3,Muy alta,96.97,3.030000000000001,Excelente
2020-21,2502660,GRADO EN INGENIERÍA DE LA ENERGÍA,E.T.S.I. INDUSTRIALES,2020,6.73,8.1,1.3699999999999992,7.415,18.92,81.08,6.3,Muy alta,91.67,8.329999999999998,Excelente
2020-21,2502731,GRADO EN INGENIERÍA BIOMÉDICA,E.T.S.I. INDUSTRIALES,2020,5.9,8.08,2.18,6.99,5.63,94.37,5.2,Alta,100.0,0.0,Excelente
2020-21,2503025,GRADO EN FUNDAMENTOS DE LA ARQUITECTURA,E.T.S. DE ARQUITECTURA,2020,6.02,7.24,1.2200000000000006,6.63,8.85,91.15,5.4,Alta,98.72,1.2800000000000011,Excelente
2020-21,2503349,GRADO EN DISEÑO Y TECNOLOGÍAS CREATIVAS,FACULTAD DE BELLAS ARTES,2020,6.1,8.07,1.9700000000000009,7.085,4.67,95.33,,,,,
2020-21,2503504,GRADO EN TECNOLOGÍAS INTERACTIVAS,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2020,6.18,8.95,2.77,7.564999999999999,31.48,68.52,,,,,
2020-21,2503653,GRADO EN CIENCIA DE DATOS,E.T.S. DE INGENIERÍA INFORMÁTICA,2020,7.25,8.13,0.8800000000000008,7.69,2.74,97.26,,,,,
2020-21,2503930,GRADO EN TECNOLOGÍA DIGITAL Y MULTIMEDIA,E.T.S.I. DE TELECOMUNICACIÓN,2020,5.75,7.94,2.1900000000000004,6.845000000000001,6.41,93.59,,,,,
2020-21,4310279,MÁSTER UNIVERSITARIO EN COMPUTACIÓN EN LA NUBE Y DE ALTAS PRESTACIONES / CLOUD AND HIGH-PERFORMANCE COMPUTING,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,7.22,8.75,1.5300000000000002,7.984999999999999,,,,,,,
2020-21,4310280,MÁSTER UNIVERSITARIO EN EDIFICACIÓN,E.T.S. DE INGENIERÍA DE EDIFICACIÓN,2020,9.38,9.03,-0.3500000000000014,9.205,16.67,83.33,5.7,Muy alta,75.0,25.0,Buena
2020-21,4310282,MÁSTER UNIVERSITARIO EN INGENIERÍA ACÚSTICA,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2020,6.25,6.88,0.6299999999999999,6.565,0.0,100.0,7.0,Muy alta,100.0,0.0,Excelente
2020-21,4310284,MÁSTER UNIVERSITARIO EN INGENIERÍA DE COMPUTADORES Y REDES,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,9.38,8.0,-1.3800000000000008,8.690000000000001,15.0,85.0,8.3,Muy alta,100.0,0.0,Excelente
2020-21,4310288,"MÁSTER UNIVERSITARIO EN TRANSPORTE, TERRITORIO Y URBANISMO","E.T.S.I. CAMINOS, CANALES Y PUERTOS",2020,7.81,8.89,1.080000000000001,8.35,11.43,88.57,5.3,Alta,100.0,0.0,Excelente
2020-21,4310468,MÁSTER UNIVERSITARIO EN SANIDAD Y PRODUCCIÓN VEGETAL,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,9.17,8.46,-0.7099999999999991,8.815000000000001,31.25,68.75,4.1,Media,100.0,0.0,Excelente
2020-21,4310569,"MÁSTER UNIVERSITARIO EN INGENIERÍA AVANZADA DE PRODUCCIÓN, LOGÍSTICA Y CADENA DE SUMINISTRO",E.T.S.I. INDUSTRIALES,2020,6.25,9.42,3.17,7.835,13.79,86.21000000000001,2.9,Baja,100.0,0.0,Excelente
2020-21,4310809,MÁSTER UNIVERSITARIO EN ARTES VISUALES Y MULTIMEDIA,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,5.42,9.42,4.0,7.42,19.05,80.95,1.8,Muy baja,60.0,40.0,Media
2020-21,4310811,MÁSTER UNIVERSITARIO EN SEGURIDAD INDUSTRIAL Y MEDIO AMBIENTE,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,7.5,9.09,1.59,8.295,,,4.0,Media,50.0,50.0,Baja
2020-21,4310813,"MÁSTER UNIVERSITARIO EN GESTIÓN DE EMPRESAS, PRODUCTOS Y SERVICIOS",FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,2020,9.44,10.0,0.5600000000000005,9.72,27.27,72.73,6.5,Muy alta,100.0,0.0,Excelente
2020-21,4310814,MÁSTER UNIVERSITARIO EN DIRECCIÓN FINANCIERA Y FISCAL,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,2020,8.0,7.5,-0.5,7.75,14.81,85.19,7.6,Muy alta,87.5,12.5,Muy buena
2020-21,4310898,MÁSTER UNIVERSITARIO EN DIRECCIÓN Y GESTIÓN DE PROYECTOS,E.T.S.I. INDUSTRIALES,2020,4.17,9.69,5.52,6.93,20.69,79.31,7.5,Muy alta,100.0,0.0,Excelente
2020-21,4310960,MÁSTER UNIVERSITARIO EN GESTIÓN CULTURAL,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,5.36,7.5,2.14,6.43,15.0,85.0,2.3,Baja,75.0,25.0,Buena
2020-21,4310963,"MÁSTER UNIVERSITARIO EN ARQUITECTURA AVANZADA, PAISAJE, URBANISMO Y DISEÑO",E.T.S. DE ARQUITECTURA,2020,8.09,7.86,-0.2299999999999995,7.975,5.41,94.59,2.1,Baja,100.0,0.0,Excelente
2020-21,4310964,MÁSTER UNIVERSITARIO EN AUTOMÁTICA E INFORMÁTICA INDUSTRIAL,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,2.5,7.22,4.72,4.859999999999999,19.23,80.77,7.7,Muy alta,100.0,0.0,Excelente
2020-21,4310965,MÁSTER UNIVERSITARIO EN CIENCIA E INGENIERÍA DE LOS ALIMENTOS,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2020,8.33,8.55,0.2200000000000006,8.440000000000001,6.45,93.55,8.1,Muy alta,87.5,12.5,Muy buena
2020-21,4310966,MÁSTER UNIVERSITARIO EN CONSERVACIÓN DEL PATRIMONIO ARQUITECTÓNICO,E.T.S. DE ARQUITECTURA,2020,6.79,7.58,0.79,7.1850000000000005,0.0,100.0,5.7,Muy alta,90.0,10.0,Excelente
2020-21,4310967,MÁSTER UNIVERSITARIO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,3.33,8.13,4.800000000000001,5.73,9.52,90.48,2.8,Baja,77.78,22.22,Buena
2020-21,4310968,MÁSTER UNIVERSITARIO EN CONSTRUCCIONES E INSTALACIONES INDUSTRIALES,E.T.S.I. INDUSTRIALES,2020,7.19,9.22,2.03,8.205,25.0,75.0,5.0,Alta,100.0,0.0,Excelente
2020-21,4310969,MÁSTER UNIVERSITARIO EN DISEÑO Y FABRICACIÓN INTEGRADA ASISTIDOS POR COMPUTADOR,E.T.S. DE INGENIERIA DEL DISEÑO,2020,6.88,9.06,2.1800000000000006,7.970000000000001,12.0,88.0,6.8,Muy alta,83.33,16.67,Muy buena
2020-21,4310971,MÁSTER UNIVERSITARIO EN INGENIERÍA DE SISTEMAS ELECTRÓNICOS,E.T.S.I. DE TELECOMUNICACIÓN,2020,7.92,8.5,0.5800000000000001,8.21,16.13,83.87,8.0,Muy alta,100.0,0.0,Excelente
2020-21,4310972,MÁSTER UNIVERSITARIO EN INGENIERÍA Y TECNOLOGÍA DE SISTEMAS SOFTWARE,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,8.57,9.23,0.6600000000000001,8.9,28.0,72.0,8.9,Muy alta,100.0,0.0,Excelente
2020-21,4310973,MÁSTER UNIVERSITARIO EN INGENIERÍA DEL DISEÑO,E.T.S. DE INGENIERIA DEL DISEÑO,2020,7.24,8.08,0.8399999999999999,7.66,12.5,87.5,4.8,Alta,100.0,0.0,Excelente
2020-21,4310974,MÁSTER UNIVERSITARIO EN INGENIERÍA DEL HORMIGÓN,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,9.52,9.0,-0.5199999999999996,9.26,17.39,82.61,4.5,Media,50.0,50.0,Baja
2020-21,4310975,MÁSTER UNIVERSITARIO EN INGENIERÍA DEL MANTENIMIENTO,E.T.S. DE INGENIERIA DEL DISEÑO,2020,8.96,10.0,1.0399999999999991,9.48,10.0,90.0,7.1,Muy alta,100.0,0.0,Excelente
2020-21,4310976,MÁSTER UNIVERSITARIO EN PLANIFICACIÓN Y GESTIÓN EN INGENIERÍA CIVIL,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",2020,5.56,9.25,3.69,7.404999999999999,12.5,87.5,2.3,Baja,100.0,0.0,Excelente
2020-21,4310977,MÁSTER UNIVERSITARIO EN INGENIERÍA HIDRÁULICA Y MEDIO AMBIENTE,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,9.05,9.42,0.3699999999999992,9.235,4.55,95.45,4.0,Media,94.12,5.879999999999996,Excelente
2020-21,4310978,MÁSTER UNIVERSITARIO EN INGENIERÍA MECÁNICA,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,6.25,9.75,3.5,8.0,12.5,87.5,7.3,Muy alta,33.33,66.67,Baja
2020-21,4310979,"MÁSTER UNIVERSITARIO EN INTELIGENCIA ARTIFICIAL, RECONOCIMIENTO DE FORMAS E IMAGEN DIGITAL",UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,8.57,9.11,0.5399999999999991,8.84,9.38,90.62,7.0,Muy alta,90.0,10.0,Excelente
2020-21,4310980,MÁSTER UNIVERSITARIO EN SISTEMAS PROPULSIVOS PARA UNA MOVILIDAD SOSTENIBLE,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,8.21,10.0,1.7899999999999991,9.105,0.0,100.0,4.4,Media,100.0,0.0,Excelente
2020-21,4310981,MÁSTER UNIVERSITARIO EN TECNOLOGÍA ENERGÉTICA PARA DESARROLLO SOSTENIBLE,E.T.S.I. INDUSTRIALES,2020,7.0,9.23,2.2300000000000004,8.115,3.7,96.3,5.4,Alta,100.0,0.0,Excelente
2020-21,4310982,"MÁSTER UNIVERSITARIO EN TECNOLOGÍAS, SISTEMAS Y REDES DE COMUNICACIONES",E.T.S.I. DE TELECOMUNICACIÓN,2020,9.17,8.19,-0.9800000000000004,8.68,20.83,79.17,3.2,Baja,100.0,0.0,Excelente
2020-21,4311602,MÁSTER UNIVERSITARIO EN BIOTECNOLOGÍA BIOMÉDICA,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,7.86,9.0,1.1399999999999997,8.43,0.0,100.0,4.3,Media,88.89,11.11,Muy buena
2020-21,4311603,MÁSTER UNIVERSITARIO EN BIOTECNOLOGÍA MOLECULAR Y CELULAR DE PLANTAS,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,4.0,9.06,5.0600000000000005,6.53,10.53,89.47,4.0,Media,83.33,16.67,Muy buena
2020-21,4311604,MÁSTER UNIVERSITARIO EN ECONOMÍA AGROALIMENTARIA Y DEL MEDIO AMBIENTE,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,7.5,9.72,2.2200000000000006,8.61,25.0,75.0,6.3,Muy alta,60.0,40.0,Media
2020-21,4311605,MÁSTER UNIVERSITARIO EN GESTIÓN DE LA SEGURIDAD Y CALIDAD ALIMENTARIA,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2020,5.96,8.75,2.79,7.355,4.55,95.45,7.1,Muy alta,100.0,0.0,Excelente
2020-21,4311606,"MÁSTER UNIVERSITARIO EN INGENIERÍA DE ANÁLISIS DE DATOS, MEJORA DE PROCESOS Y TOMA DE DECISIONES",UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,7.63,9.81,2.1800000000000006,8.72,25.0,75.0,10.0,Muy alta,100.0,0.0,Excelente
2020-21,4311609,MÁSTER UNIVERSITARIO EN LENGUAS Y TECNOLOGÍA,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,8.57,9.44,0.8699999999999992,9.004999999999999,25.0,75.0,6.4,Muy alta,100.0,0.0,Excelente
2020-21,4311610,MÁSTER UNIVERSITARIO EN MEJORA GENÉTICA ANIMAL Y BIOTECNOLOGÍA DE LA REPRODUCCIÓN,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,10.0,9.5,-0.5,9.75,,,,,,,
2020-21,4311612,MÁSTER UNIVERSITARIO EN POSTPRODUCCIÓN DIGITAL,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2020,6.25,8.93,2.68,7.59,18.18,81.82,2.5,Baja,80.0,20.0,Muy buena
2020-21,4311613,MÁSTER UNIVERSITARIO EN PREVENCIÓN DE RIESGOS LABORALES,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,6.22,8.59,2.37,7.404999999999999,2.56,97.44,6.8,Muy alta,100.0,0.0,Excelente
2020-21,4311614,MÁSTER UNIVERSITARIO EN PRODUCCIÓN ARTÍSTICA,FACULTAD DE BELLAS ARTES,2020,6.96,8.5,1.54,7.73,11.36,88.64,3.0,Baja,87.5,12.5,Muy buena
2020-21,4311725,MÁSTER UNIVERSITARIO EN COOPERACIÓN AL DESARROLLO,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,7.5,9.72,2.2200000000000006,8.61,12.0,88.0,4.2,Media,100.0,0.0,Excelente
2020-21,4311726,MÁSTER UNIVERSITARIO EN INGENIERÍA AMBIENTAL,"E.T.S.I. CAMINOS, CANALES Y PUERTOS",2020,6.46,8.75,2.29,7.605,18.75,81.25,3.0,Baja,71.43,28.569999999999997,Buena
2020-21,4312033,MÁSTER UNIVERSITARIO EN ACUICULTURA,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,5.83,8.44,2.6099999999999994,7.135,7.14,92.86,0.0,Muy baja,100.0,0.0,Excelente
2020-21,4312991,MÁSTER UNIVERSITARIO EN EVALUACIÓN Y SEGUIMIENTO AMBIENTAL DE ECOSISTEMAS MARINOS Y COSTEROS,ESCUELA POLITECNICA SUPERIOR DE GANDIA,2020,9.38,7.75,-1.6300000000000008,8.565000000000001,20.0,80.0,5.5,Alta,100.0,0.0,Excelente
2020-21,4313930,MÁSTER UNIVERSITARIO EN INVESTIGACIÓN MATEMÁTICA,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,6.07,7.97,1.8999999999999997,7.02,15.79,84.21000000000001,5.0,Alta,100.0,0.0,Excelente
2020-21,4314065,"MÁSTER UNIVERSITARIO EN INGENIERÍA, PROCESADO Y CARACTERIZACIÓN DE MATERIALES",E. POLITÉCNICA SUPERIOR DE ALCOY,2020,8.33,9.05,0.7200000000000006,8.690000000000001,0.0,100.0,5.0,Alta,100.0,0.0,Excelente
2020-21,4314067,MÁSTER UNIVERSITARIO EN INGENIERÍA MECATRÓNICA,E.T.S. DE INGENIERIA DEL DISEÑO,2020,7.08,8.93,1.85,8.004999999999999,7.89,92.11,7.7,Muy alta,100.0,0.0,Excelente
2020-21,4314071,MÁSTER UNIVERSITARIO EN INGENIERÍA DE ORGANIZACIÓN Y LOGÍSTICA,E. POLITÉCNICA SUPERIOR DE ALCOY,2020,9.29,9.53,0.2400000000000002,9.41,15.38,84.62,4.7,Alta,100.0,0.0,Excelente
2020-21,4314473,MÁSTER UNIVERSITARIO EN INGENIERÍA DE MONTES,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2020,4.58,8.39,3.810000000000001,6.485,0.0,100.0,3.7,Media,80.0,20.0,Muy buena
2020-21,4314518,MÁSTER UNIVERSITARIO EN INGENIERÍA DE TELECOMUNICACIÓN,E.T.S.I. DE TELECOMUNICACIÓN,2020,3.82,8.1,4.279999999999999,5.96,7.14,92.86,6.8,Muy alta,100.0,0.0,Excelente
2020-21,4314521,MÁSTER UNIVERSITARIO EN INGENIERÍA AERONÁUTICA,E.T.S. DE INGENIERIA DEL DISEÑO,2020,5.0,8.75,3.75,6.875,2.97,97.03,6.5,Muy alta,95.0,5.0,Excelente
2020-21,4314523,MÁSTER UNIVERSITARIO EN INGENIERÍA QUÍMICA,E.T.S.I. INDUSTRIALES,2020,6.4,8.88,2.4800000000000004,7.640000000000001,5.0,95.0,6.1,Muy alta,100.0,0.0,Excelente
2020-21,4314524,MÁSTER UNIVERSITARIO EN INGENIERÍA INDUSTRIAL,E.T.S.I. INDUSTRIALES,2020,5.04,8.65,3.61,6.845000000000001,4.28,95.72,6.8,Muy alta,98.36,1.6400000000000006,Excelente
2020-21,4314526,MÁSTER UNIVERSITARIO EN INGENIERÍA INFORMÁTICA,E.T.S. DE INGENIERÍA INFORMÁTICA,2020,8.13,8.46,0.33,8.295000000000002,10.34,89.66,5.5,Alta,83.33,16.67,Muy buena
2020-21,4314528,MÁSTER UNIVERSITARIO EN ENOLOGÍA,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2020,2.5,8.39,5.890000000000001,5.445,19.23,80.77,2.5,Baja,0.0,100.0,Baja
2020-21,4314529,MÁSTER UNIVERSITARIO EN INGENIERÍA AGRONÓMICA,E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL,2020,6.97,8.54,1.5699999999999994,7.754999999999999,1.33,98.67,6.1,Muy alta,100.0,0.0,Excelente
2020-21,4314646,MÁSTER UNIVERSITARIO EN INGENIERÍA GEOMÁTICA Y GEOINFORMACIÓN,"E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.",2020,7.5,9.38,1.8800000000000008,8.440000000000001,22.22,77.78,2.8,Baja,85.71,14.290000000000006,Muy buena
2020-21,4314647,"MÁSTER UNIVERSITARIO EN INGENIERÍA DE CAMINOS, CANALES Y PUERTOS","E.T.S.I. CAMINOS, CANALES Y PUERTOS",2020,3.75,8.7,4.949999999999999,6.225,4.35,95.65,4.9,Alta,92.86,7.140000000000001,Excelente
2020-21,4314825,MÁSTER UNIVERSITARIO EN DIRECCIÓN DE EMPRESAS (MBA),E. POLITÉCNICA SUPERIOR DE ALCOY,2020,7.5,9.17,1.67,8.335,11.54,88.46000000000001,7.0,Muy alta,100.0,0.0,Excelente
2020-21,4315002,MÁSTER UNIVERSITARIO EN INGENIERÍA TEXTIL,E. POLITÉCNICA SUPERIOR DE ALCOY,2020,9.04,9.53,0.4900000000000002,9.285,4.76,95.24,2.5,Baja,100.0,0.0,Excelente
2020-21,4315070,MÁSTER UNIVERSITARIO EN ARQUITECTURA,E.T.S. DE ARQUITECTURA,2020,5.51,6.52,1.0099999999999998,6.015,3.75,96.25,5.2,Alta,100.0,0.0,Excelente
2020-21,4315739,MÁSTER UNIVERSITARIO EN ARQUITECTURA DEL PAISAJE,E.T.S. DE ARQUITECTURA,2020,6.67,9.22,2.5500000000000007,7.945,6.25,93.75,,,,,
2020-21,4315921,MÁSTER UNIVERSITARIO EN INGENIERÍA BIOMÉDICA,E.T.S.I. INDUSTRIALES,2020,5.83,7.86,2.03,6.845000000000001,6.12,93.88,5.2,Alta,100.0,0.0,Excelente
2020-21,4315941,MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN SANIDAD VEGETAL EN AGRICULTURA SOSTENIBLE/ EUROPEAN MASTER DEGREE IN PLANT HEALTH IN SUSTAINABLE CROPPING SYSTEMS,UNIDAD DE MÁSTERES UNIVERSITARIOS,2020,9.38,9.0,-0.3800000000000008,9.19,0.0,100.0,,,,,
2020-21,4316135,MÁSTER UNIVERSITARIO EN GESTIÓN ADMINISTRATIVA,FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,2020,10.0,8.21,-1.7899999999999991,9.105,18.75,81.25,,,,,
